p,n,prime_count,duration_ns
1,2,1,99
1,4,2,221
1,8,4,279
1,16,6,449
1,32,11,768
1,64,18,1167
1,128,31,3943
1,256,54,4269
1,512,97,9171
1,1024,172,20237
1,2048,309,17205
1,4096,564,38592
1,8192,1028,94678
1,16384,1900,229028
1,32768,3512,452116
1,65536,6542,1144589
1,131072,12251,2951774
1,262144,23000,7638857
1,524288,43390,19901220
1,1048576,82025,52088186
1,2097152,155611,129734597
1,4194304,295947,309003323
1,8388608,564163,821520959
1,16777216,1077871,2192682106
1,33554432,2063689,5873069715
1,67108864,3957809,15783289792
8,2,1,69
8,4,2,138555
8,8,4,292333
8,16,6,398370
8,32,11,381971
8,64,18,403935
8,128,31,414530
8,256,54,360463
8,512,97,390458
8,1024,172,398480
8,2048,309,403576
8,4096,564,369222
8,8192,1028,414374
8,16384,1900,395275
8,32768,3512,437093
8,65536,6542,785613
8,131072,12251,891966
8,262144,23000,1831589
8,524288,43390,3950110
8,1048576,82025,9693738
8,2097152,155611,25192701
8,4194304,295947,71223512
8,8388608,564163,178113172
8,16777216,1077871,451259162
8,33554432,2063689,1175534309
8,67108864,3957809,3004734544
16,2,1,81
16,4,2,102218
16,8,4,290697
16,16,6,610172
16,32,11,672066
16,64,18,723881
16,128,31,826869
16,256,54,730049
16,512,97,639582
16,1024,172,704496
16,2048,309,725322
16,4096,564,660185
16,8192,1028,698399
16,16384,1900,711700
16,32768,3512,688872
16,65536,6542,801062
16,131072,12251,932873
16,262144,23000,1321486
16,524288,43390,2955498
16,1048576,82025,5312498
16,2097152,155611,13467626
16,4194304,295947,33770179
16,8388608,564163,88301019
16,16777216,1077871,226191134
16,33554432,2063689,589167425
16,67108864,3957809,1567506219
32,2,1,100
32,4,2,128818
32,8,4,281677
32,16,6,541466
32,32,11,1217560
32,64,18,1375252
32,128,31,1329759
32,256,54,1329344
32,512,97,1204521
32,1024,172,1408427
32,2048,309,1291032
32,4096,564,1406544
32,8192,1028,1371815
32,16384,1900,1290477
32,32768,3512,1306975
32,65536,6542,1387182
32,131072,12251,1460158
32,262144,23000,1812611
32,524288,43390,2515961
32,1048576,82025,4942495
32,2097152,155611,11633123
32,4194304,295947,28295544
32,8388608,564163,73100878
32,16777216,1077871,185654981
32,33554432,2063689,479983186
32,67108864,3957809,1268456420
